"","id","region"
"1","AFG","CentralAsia"
"2","AGO","MiddleAfrica"
"3","ALB","EasternEurope"
"4","ARE","WesternAsia"
"5","ARG","SouthAmerica"
"6","ARM","WesternAsia"
"7","ATA","SouthernAfrica"
"8","ATF","SouthernAfrica"
"9","AUS","Oceania"
"10","AUT","WesternEurope"
"11","AZE","WesternAsia"
"12","BDI","EasternAfrica"
"13","BEL","WesternEurope"
"14","BEN","WesternAfrica"
"15","BFA","WesternAfrica"
"16","BGD","SouthernAsia"
"17","BGR","EasternEurope"
"18","BHS","Caribbean"
"19","BIH","EasternEurope"
"20","BLR","EasternEurope"
"21","BLZ","Caribbean"
"22","BOL","SouthAmerica"
"23","BRA","SouthAmerica"
"24","BRN","South-EasternAsia"
"25","BTN","SouthernAsia"
"26","BWA","SouthernAfrica"
"27","CAF","MiddleAfrica"
"28","CAN","NorthernAmerica"
"29","CHE","WesternEurope"
"30","CHL","SouthAmerica"
"31","CHN","EasternAsia"
"32","CIV","WesternAfrica"
"33","CMR","MiddleAfrica"
"34","COD","MiddleAfrica"
"35","COG","MiddleAfrica"
"36","COL","SouthAmerica"
"37","CRI","CentralAmerica"
"38","CUB","Caribbean"
"39","CYP","SouthernEurope"
"40","CYP","SouthernEurope"
"41","CZE","EasternEurope"
"42","DEU","WesternEurope"
"43","DJI","EasternAfrica"
"44","DNK","NorthernEurope"
"45","DOM","Caribbean"
"46","DZA","NorthernAfrica"
"47","ECU","SouthAmerica"
"48","EGY","NorthernAfrica"
"49","ERI","EasternAfrica"
"50","ESP","SouthernEurope"
"51","EST","NorthernEurope"
"52","ETH","EasternAfrica"
"53","FIN","NorthernEurope"
"54","FJI","Oceania"
"55","FLK","SouthAmerica"
"56","FRA","WesternEurope"
"57","GUF","SouthAmerica"
"58","GAB","MiddleAfrica"
"59","GBR","WesternEurope"
"60","GEO","WesternAsia"
"61","GHA","WesternAfrica"
"62","GIN","WesternAfrica"
"63","GMB","WesternAfrica"
"64","GNB","WesternAfrica"
"65","GNQ","MiddleAfrica"
"66","GRC","SouthernEurope"
"67","GRL","NorthernEurope"
"68","GTM","CentralAmerica"
"69","GUY","SouthAmerica"
"70","HND","CentralAmerica"
"71","HRV","EasternEurope"
"72","HTI","Caribbean"
"73","HUN","EasternEurope"
"74","IDN","South-EasternAsia"
"75","IND","SouthernAsia"
"76","IRL","WesternEurope"
"77","IRN","CentralAsia"
"78","IRQ","WesternAsia"
"79","ISL","NorthernEurope"
"80","ISR","WesternAsia"
"81","ITA","SouthernEurope"
"82","JAM","Caribbean"
"83","JOR","WesternAsia"
"84","JPN","EasternAsia"
"85","KAZ","CentralAsia"
"86","KEN","EasternAfrica"
"87","KGZ","CentralAsia"
"88","KHM","South-EasternAsia"
"89","KOR","EasternAsia"
"90","KOS","EasternEurope"
"91","KWT","WesternAsia"
"92","LAO","South-EasternAsia"
"93","LBN","WesternAsia"
"94","LBR","WesternAfrica"
"95","LBY","NorthernAfrica"
"96","LKA","SouthernAsia"
"97","LSO","SouthernAfrica"
"98","LTU","NorthernEurope"
"99","LUX","WesternEurope"
"100","LVA","NorthernEurope"
"101","MAR","NorthernAfrica"
"102","MDA","EasternEurope"
"103","MDG","SouthernAfrica"
"104","MEX","CentralAmerica"
"105","MKD","EasternEurope"
"106","MLI","WesternAfrica"
"107","MMR","South-EasternAsia"
"108","MNE","EasternEurope"
"109","MNG","EasternAsia"
"110","MOZ","SouthernAfrica"
"111","MRT","WesternAfrica"
"112","MWI","SouthernAfrica"
"113","MYS","South-EasternAsia"
"114","NAM","SouthernAfrica"
"115","NCL","Oceania"
"116","NER","WesternAfrica"
"117","NGA","WesternAfrica"
"118","NIC","CentralAmerica"
"119","NLD","WesternEurope"
"120","NOR","NorthernEurope"
"121","NPL","SouthernAsia"
"122","NZL","Oceania"
"123","OMN","WesternAsia"
"124","PAK","SouthernAsia"
"125","PAN","CentralAmerica"
"126","PER","SouthAmerica"
"127","PHL","South-EasternAsia"
"128","PNG","Oceania"
"129","POL","EasternEurope"
"130","PRI","Caribbean"
"131","PRK","EasternAsia"
"132","PRT","SouthernEurope"
"133","PRY","SouthAmerica"
"134","QAT","WesternAsia"
"135","ROU","EasternEurope"
"136","RUS","EasternEurope"
"137","RWA","EasternAfrica"
"138","ESH","WesternAfrica"
"139","SAU","WesternAsia"
"140","SDN","EasternAfrica"
"141","SSD","EasternAfrica"
"142","SEN","WesternAfrica"
"143","SLB","Oceania"
"144","SLE","WesternAfrica"
"145","SLV","CentralAmerica"
"146","SOM","EasternAfrica"
"147","SOM","EasternAfrica"
"148","SRB","EasternEurope"
"149","SUR","SouthAmerica"
"150","SVK","EasternEurope"
"151","SVN","EasternEurope"
"152","SWE","NorthernEurope"
"153","SWZ","SouthernAfrica"
"154","SYR","WesternAsia"
"155","TCD","MiddleAfrica"
"156","TGO","WesternAfrica"
"157","THA","South-EasternAsia"
"158","TJK","CentralAsia"
"159","TKM","CentralAsia"
"160","TLS","South-EasternAsia"
"161","TTO","Caribbean"
"162","TUN","NorthernAfrica"
"163","TUR","WesternAsia"
"164","TWN","EasternAsia"
"165","TZA","EasternAfrica"
"166","UGA","EasternAfrica"
"167","UKR","EasternEurope"
"168","URY","SouthAmerica"
"169","USA","NorthernAmerica"
"170","UZB","CentralAsia"
"171","VEN","SouthAmerica"
"172","VNM","South-EasternAsia"
"173","VUT","Oceania"
"174","PSE","WesternAsia"
"175","YEM","WesternAsia"
"176","ZAF","SouthernAfrica"
"177","ZMB","SouthernAfrica"
"178","ZWE","SouthernAfrica"
